sentence	level
很好，谢谢。	1
很高兴认识你。	1
你做什么工作？	1
你知道你在做什么吗？	1
你的衣服是什么颜色？	2
他在她的旁边。	1
他不喜欢吃鱼。	2
都是我的错。	1
你喜欢我就高兴。	1
他也学习汉语。	1
你觉得怎么样？	1
你认为你能来吗？	2
你记得她的名字吗？	1
我怎么知道。	1
妈妈准备了好吃的东西给我。	1
我看你不应该。	2
你应该去看医生。	2
我去我叔叔家。	4
我很愿意。谢谢你。	2
你能告诉我去火车站最近的路吗？	2
我喜欢在图书馆学习。	1
有的人爱先做难做的工作。	1
你明白了吗？	1
我不太清楚。	2
你会习惯的。	2
她把我介绍给她的朋友。	3
即使你不喜欢这工作，你也得做。	4
我不明白你的意思。	2
他是个有个性的人。	3
你以为你在跟谁说话？	2
他住在学校的宿舍里。	5
他昨天没打扫房间。	4
他昨天打扫房间吗？	4
你赚了多少钱？	6
一切都会好的。	3
我的狗不在旁边我就很寂寞。	7
这方便得多了。	2
是什么使他生病？	2
黑板在教室的前面。	2
他最喜欢吃的菜是烤鸭。	5
他感冒了。	3
请帮我喂我的猫好吗？	2
你到底是怎么知道的？	3
你只要问他，他就会告诉你。	2
我们都关心她的健康。	2
他的破产和他的妻子很有关系。	4
我爱她就像爱自己的女儿一样。	2
我觉得这是我的义务。	3
你没拿我的眼镜吧？	4
他喜欢拿他的同学开玩笑。	1
排球是我很喜欢的运动。	2
他昨天参加了我们的讨论。	2
我喜欢约翰，他是我非常要好的朋友。	3
她和我在学院里是同学。	1
是的，肯定的。	5
是的，当然可以。	2
我不知道他的动力是什么。	2
我不知道他的意图是什么。	2
你的约会怎么样？	3
我姐姐和我都喜欢穿牛仔裤。	5
我不喜欢我那单调乏味的工作。	5
我马上就来。	1
这是他最不可能做的尝试。	5
他是我认识的最可憎的人。	2
你干得很好。	1
她的眼睛湿润了。	5
你刚才指的是什么？	3
他向他的朋友打招呼。	4
他的意见没多少影响。	2
即使下雨我们也要去。	4
我想介绍我的地理老师给你认识，你现在是国会议员。	3
我不喜欢读他的文学批评。	3
看看你都做了些什么！	1
对不起，我忘了你的名字。	1
中国历史上有多少个朝代？	4
这是我给你开的药方。	2
他是个很难对付的人。	3
这是本有教育意义的书。	3
我怀疑，不，我肯定他错了。	5
我们对我们的新老师很失望。	3
你看了关于选举的新闻了吗？	2
这是我特意为你生日而做的。	2
只要你不出卖我，要我做什么我都愿意。	2
我可以向你保证，你儿子在这里会很快乐的。	3
他走了，把所有没做完的工作都留给了我。	3
他说他会来的，果然来了。	2
你喜欢我的家常菜吗？	1
在来点马铃薯泥好吗？	6
我无论如何是会去的。	4
他是个自私自利的人。	5
我没心情和你聊天。	4
我喜欢她眼睛的光彩。	3
他要我问候你。	1
我乐意和你去。	2
我确实得走了。	2
今天有多少学生缺席？	4
想吃梨吗？	5
好像要下雨了。	2
我相信你是有见识的人。	2
她坚决不来。	3
他昨天到达的。	3
你只要一看见她的脸就会明白，她是无辜的。	7
谁都不喜欢被人怠慢。	7
我钱很宽裕，能帮助她。	7
她单独去是很危险的。	4
他姐姐过去一直指导他，给他出主意，是他的朋友。	3
他没注意到她的赞美。	4
我可以证明她是诚实的。	4
老师对他的学生非常严格。	4
你一定是在开玩笑吧。	2
我不太明白，你能再解释一下吗？	4
这对我太合适了。	2
再见了，很高兴见到你。	1
他哄她同意带她去看电影。	7
她和他的感受相同。	2
你愿意当你弟弟的保证人吗？	3
那可简化了我的工作。	3
他告诉我的消息是真实的。	3
请把菜单给我。	3
我们试图让她和她的家庭和好。	2
你周末计划做什么？	2
如果天气好，当然可以。	2
她的故事使我很感动。	2
我不知道他是否愿意来。	3
要是我知道他的地址就好了。	4
他在面条里放了些醋。	6
她在铝锅里下了些面条。	7
只要我身体好一定来。	2
医生一会儿就到。	1
他总是称赞他的女儿。	4
我记得很清楚。	2
你愿意帮忙吗？	2
这杯子碎了。	5
他的工作是做国内贸易。	5
欢迎你随时到我们家。	2
他的工作符合了我们的期望。	4
我正准备打电话给你。	1
让我为你的健康干杯。	2
如果你努力工作，你就会成功。	3
这需要时间。	3
她穿上袜子。	4
我喜欢他的写作风格，但是不喜欢他的内容。	3
自从我们在学校认识之后，我们就一直是好朋友。	4
我的朋友告诉我她住的地方文化生活贫乏。	6
我清楚地告诉他，我拒绝了他的建议。	5
因为天气热，她穿了一件凉快的衣服。	2
我虽然很喜欢她，却不打算娶她。	7
我证明他已经收到了你的钱。	3
你能告诉我你一个月赚多少吗？	6
我过去相信你是有见识的人。	2
在我苦恼的时候，她来安慰我。	7
我有了新工作和一班新同事。	1
因为现在是收获期，所以我们都非常忙。	4
简单朴素的衣服适合在学校里穿。	7
啊，我真喜欢这首歌！好高兴！	3
我就他的小说向他提问。	2
他是个和蔼而快乐的人。	7
他是世界上最富有的人。	3
我特地为你做了个蛋糕。	5
他的失败是再明白不过了。	4
一般人都相信努力是值得的。	3
她在医院里接受了全面检查。	2
那册书还能买到吗？	5
我已经写了三个小时了。	2
我的钟一定是坏了。	2
这只杯子是不锈钢做的。	7
他的盘子里盛满了米饭。	6
我不喜欢它因为很吵闹。	4
这完全是你力所能及的工作。	3
我们在那儿几乎没看见学生。	4
他的级别比我高。	2
他的物理学得很好。	2
她喜欢和我一起溜冰。	7
我不喜欢喝速溶咖啡。	7
他一再说他很忙。	1
她是个真正的专家。	3
这是个棘手的问题。	7
我的钢笔是新的。	5
他的痛苦现在已经过去。	3
这是个神奇的故事。	3
我不理解她的逻辑。	5
他写的论文很优秀。	4
他和他哥哥一样英俊。	7
是的，这事我知道，谢谢。	1
我是今天早晨从报纸上知道这条消息的。	3
你的生活目标是什么？	3
我有一大堆工作要做。	5
劳驾，能让我过去吗？	5
别慌忙，时间多的是。	5
我们都相信她的预言。	3
我讨厌他在教室抽烟。	5
气候影响了他的健康。	2
我们可以轻松地开始工作。	4
我们刚才看见的那位同志是你的老师吗？	3
问题是什么时候能得到我们所需要的钱。	3
他的书对这一问题的论述是最好的，仅次于我的书。	4
她和他订婚了。	3
这是谁的钢笔？	5
我不太喜欢下棋。	7
他是个小机灵鬼。	6
我觉得我很空虚。	5
他的衣服破烂不堪了。	7
我妈妈是个家庭妇女。	4
我喜欢你的幽默感。	5
她喜欢随着音乐跳舞。	3
听说你的猫死了，我觉得很难过。	3
难怪她病了，她几乎什么都没吃。	4
你妈妈是个乐呵呵的容易相处的人。	7
我相信他是个我们应当尊敬的人。	5
我肯定你有能力。	5
他跳上了桌子。	3
我必须告诉你，他的耐心是有限的。	5
我们大家都认为考试作弊是不对的。	7
我们决定立刻去火车站。	3
你能告诉我是谁发明了电话？	2
他没有给我回答他问题的机会。	2
这本书是我特意为你买的。	2
我很不喜欢住在闭塞的乡村。	6
我相信礼貌对大家是很重要的。	5
我们得给我们的新房子买些家具。	3
他长大了，穿剩下的衣服就给了他的弟弟。	5
如果我后悔什么事情，那很可能是我的良好品行。	5
我不喜欢吃菠菜，虽然我知道它对我有好处。	2
我今天提早工作都做完了，但是别人都还在工作，我不好意思回家。	2
他的想法和我的不一致。	4
他能跑得和我一样快。	1
他向我告别。	2
可能的话，她想跟我们一起去。	2
我非常想念你。	3
水的密度是1。	4
没人理睬他。	7
我在街道对面的连锁商店里买了这只面包。	5
你应该可怜他。	5
我不喜欢孤独。	6
既然你喜欢我的连衣裙而我也喜欢你的，咱们交换好吗？	4
请你为我翻译一下好吗？	4
她的热心感动了所有的人。	2
她不应该把我的信公开。	3
你知道是谁发明的指南针吗？	4
我和她商量过我的报告。	2
他不提他曾经和她见面。	3
别让我失望。	3
真让我失望。	3
他的痛苦引起了我们的同情。	4
我还认识到了集体的力量。	3
她用蔑视的态度和我们说话。	7
我感觉不舒服。	2
他在食槽里放了些草。	7
我们的经理对我们要求很严格。	4
我不会把我的钱投资到他的公司。	4
我可以从她的眼睛里看出她的喜悦。	7
她所有的钱都投放到股票里去了。	6
我想请你下星期日去参加舞会好吗？	3
我只关心我觉得对我很重要的事物。	2
我女儿喜欢给我讲她那些奇怪的梦。	4
请把账单给我好吗？	6
他解除了和她的婚姻。	7
秋季是我最喜欢的季节。	4
刚才你男朋友给你打电话了。	2
一小时之内我就会到。	4
她讲了她的冒险经历。	3
你完全误解了我的意思。	3
她委托邻居照顾她的孩子。	5
那就说明了她不在这里的原因。	2
我津津有味地品尝了我妈妈做的鱼。	7
我们给她些压力她就会讲出来。	3
我三番五次请她来，她都断然拒绝了。	6
他的钱是我的三倍还不止。	4
再给你倒杯茶好吗？	2
我确信你是对的。	2
让她走，别阻拦她。	7
这是他的亲笔画。	3
我亲眼看见他拿了钱。	3
要我承认错了，是很费力的。	4
我想帮忙你捆扎东西。	7
我原谅了他的过失。	6
太糟糕了。	5
你知道怎么挤牛奶吗？	5
我喜欢滑冰。	5
我对他很生气，因为他让我等了好久。	2
我妈妈鼓励我，而且坚持我应该继续我的教育。	5
他将他的名字写在清单上。	3
我希望他别再招待他的朋友了。	4
我最喜欢吃桔子，其次才是香蕉。	3
不休息我们就走不动了。	1
他的粗鲁让我生气。	7
他身体在逐步好起来。	4
现在请注意它的商标。	3
我们喜欢看海豚的表演。	3
如果我需要你来帮忙，我会打电话的。	3
她对新环境不习惯。	3
他说话谨慎。	7
全部艰苦的工作都是我做的，但是我的老板却宣布那是他自己的发现，窃取了我的发明创造。	7
那把椅子原本是为你准备的，但是被她拿走了。	3
这只猫毛很光滑，看来喂得很好。	5
这是我买过的最奢侈的东西.	7
我给他这一机会，他立刻抓住不放。	3
我还能有别的方法可以向她道歉吗？	6
现在我不会唱歌了，但我年轻的时候会。	2
他的妻子知道在他生气时怎么对付他。	4
我没有注意到他已经走了。	3
我喜欢唱歌，更不用说听音乐了。	2
他的作文比我的好多了。	1
我把赚的钱都花光了。	6
我与这外宾的关系很好。	5
我想我能来，但还说不定。	2
发现她在那，我感到很吃惊。	4
我想我们能从中学到许多。	2
我把这消息传达给他了。	3
他是个坚强而沉默的人。	4
我知道他们和你在议论我。	3
他让他的马退出了比赛。	3
在空白栏中写上你的名字。	6
所有的植物都需要水和阳光。	4
他的拒绝浇熄了我们的热情。	7
我很荣幸能介绍我们的州长	7
老实讲，我不同意你的计划。	2
你在我抽屉里乱翻什么？	7
他正在尽力弄明白他的意思。	3
我想北极地区的人要比这里的少得多。	3
你要是到商店去，可以给我捎些香烟来吗？	7
你太粗心了，居然连你妈妈的生日也忘了。	4
他对他的母亲的敬爱给了我深刻的印象。	5
我已经把我所有的希望都寄托在你身上了。	5
根据我们的记录，你借的书现在应该还给图书馆了。	3
他比我大两岁。	1
我正在要告辞了。	5
我经常带我的孩子们去公园玩。	2
我非常喜欢吃冰淇淋。	7
他每次度假都会带他的狗去。	3
他向我提了一些很好的意见。	2
她讨厌他到不和他讲话的程度。	5
我认为她是个很能干的经理.	2
你真让我恶心！	4
现在的时装和我还是小女孩时候流行的样子很不一样了。	2
她在最不合适的时候讲出了实话。	2
她真心真意的帮助我。	2
我们去吃冰淇淋吧。	7
他的热情给公司注入了新的生命。	3
他想扩充自己在这一行业的知识。	4
我非常为你惋惜。	7
我明天晚上来.	1
我珍惜你的友谊。	5
我恳求你告诉我。	7
谢谢你给我们送礼物。	2
我正在找兼职工作。	7
我看到他就高兴。	1
让我猜一猜。	5
这星期他会很忙。	1
冬天的时候，我们不得不穿上温暖的衣服。	3
我及时参加了会议。	3
我必须立刻开始工作。	3
他十岁的时候就已经长得比他哥哥高了。	2
我不喜欢他，但是说句公道话，他是个好工人。	2
我觉得这是个合理的建议，但他不同意。	3
不跟你父亲打个招呼就走是非常不合适的。	4
书和我的关系正如同水和植物的关系。	4
她女儿的漂亮眼睛是来自她的部分遗传特征。	4
因为我的愚蠢，我不得不站起来听他的批评。	7
她是个有声望的专家。	3
我喜欢和我的家人沟通。	5
我喜欢吃有黄瓜的三明治。	4
他的中国功夫是无敌的。	4
北京是中国的政治和金融中心。	6
你能扶我上楼梯吗？	5
我们正向家的方向走去。	2
那块骨头上没多少肉。	4
这事你本可以提醒我的。	4
他和他的大哥一样聪明。	5
不开心是他生病的根源。	4
他对他的决定很坚定。	3
她努力要实现她的理想。	2
我对他并不了解，虽然我认识他已经很长时间了。	3
我离开巴黎已经两星期了。	7
我非常尊重他的工作.	5
每个母亲都爱她的孩子。	3
我一直期待着和您见面。	3
她的智慧比我们猜想的要高。	6
她的马车是院子里最漂亮的。	2
我对他的功劳评价不很高。	5
玛丽所有的钱是怎么赚到的？	6
中国菜在每一方面都是精美的。	3
那是个复杂得无法解决的问题。	4
她父亲永不会同意她和你结婚。	3
他在自己的领域里已经出名了。	5
她的心思完全集中在工作上了。	3
我们很高兴，我们的足球队获得了胜利。	4
我们遗憾地把我们的决定通知她。	6
她要他清理好他弄得乱七八糟的东西。	5
要聘请到素质好的老师是很困难的。	6
他的花白的头发显示出了他的年龄。	5
我正在用我新买的煎锅做苹果馅饼。	7
我只要做的就是说服他跟我们一起去。	2
我叔叔给了我一些钱让我开始经商。	4
我已经足够大了，有权去做我喜欢做的事。	4
我要是你就不参加了，他的计划似乎不妥当。	7
爱你的敌人吧，因为他们让你知道自己的缺点。	4
我卖给你一本新的地理书，其余的钱你可以能够还的时候还我。	4
我经常乘地铁去上班。	5
你的衬衫已经熨好了。	3
未成熟的苹果是酸的。	4
他的书在柜子里找到了。	5
你疯了吗？	5
他是我可以信赖的那一种人。	6
小猫喝了牛奶，又洗了脸。	2
我很想吃饺子。	2
能看很远的，目光锐利的	7
他没怎么听讲。	2
她很有头脑。	2
杏仁能吃吗？	7
不怎么想去，我并不大喜欢看电影。	3
现在再见了!	1
你觉得恶心吗？	4
他假装在爬山。	2
他是幕后策划人。	6
你喜欢香港吗？	6
你喜欢流行音乐吗？	2
我的鞋底都断了。	3
他的红墨水用完了。	6
这完全是你的过错。	2
他不得不迁就他的弟弟。	6
他招手叫我走过去。	4
你没锁门，太粗心了。	5
他是个幸运的家伙。	4
不协调的；不和谐的	6
你税后的工资是多少？	6
他的脉搏不很规则。	7
我有个简易的方法。	3
那个学生昨天丢了书。	5
他很敬佩他的父亲。	7
他的诚实是无可争议的。	4
老师赞扬了她的勇气。	4
你的初步措施是什么？	4
老师正在评定学生的作业。	3
你是想让我难堪吗?	7
还是我直接跟他打交道为好	2
你认为他当真要离开公司吗？	2
他骗我把自行车借给了他。	5
把我应付你的钱都加在一起。	3
她的微笑掩饰了她的感情。	7
我对电脑的维修保养很在行。	4
我是最不可能去尝试回答这个问题。	5
我准备花多少钱是有限度的.	4
你们有适合我穿的现成的衣服吗？	2
有道理，我认为那是非常公道的价格。	3
关于此事，你能给我提供什么消息吗？	4
老师问了我一些和我的论文有关的问题。	2
你住在哪儿？	1
一提到他的名字，他立即站了起来。	4
听到这消息我很高兴。	3
万一我忘记，请提醒我。	4
我向他们做了明白的解释。	4
我不完全理解他离开的理由。	3
他几乎破产了。	4
我打算娶她。	7
我的儿子每晚都去上补习班。	3
那是历史上最严重的空难。	4
谁迟到谁倒霉！	7
我也不相信我们的相关力量正在增长。	3
我们为什么要怕他呢？	2
感谢你的邀请。	5
你介意我明天请假吗？	2
发掘过去的历史是不容易的。	7
他胃不舒服。	5
他很倒霉，在考试当天生病了。	7
没关系。有什么事？	1
我们都支持他的科学研究。	4
她在剧团工作。	3
他很容易打交道。	3
他竟然拒绝了！	5
他在医务界工作。	3
他紧张地坐着，整理着他的思绪。	6
由于他的参与，我们赢了比赛。	4
我为准备英语考试的人做辅导。	5
她对孩子和动物总是很温柔。	7
我们在危险的时候应该保持冷静。	3
我们的人口在增长，因此我们需要更多的食物。	3
我们考虑是否要告诉她。	4
他和往常一样努力工作。	2
认识从实践开始。	6
你必须专心学习。	3
我们必须重新开始。	3
我的书法很好，但与我父亲的相比，我的就很差了。	4
我感到了猫在我的腿上蹭来蹭去。	7
他是个优秀的运动员，他所有的动作都非常协调。	5
我还没来得及给他盖好被子，他就睡着了。	4
今天的报纸上有一篇关于办公室里的性骚扰的报道。	7
我代表我的同事和我本人向你表示感谢。	3
她的亲切给我留下了很深的印象。	3
我的新秘书很好，确实是难得的人才。	4
如果你愿意卖的话，我想买你的房子。	2
请允许我（向你）介绍我的新助手.	6
她不知道以后等待她的将是什么命运。	3
我想我们今天的讨论大家都谈得差不多了。让我的秘书来送诸位出去吧。	6
她的裙子上有个细长的开口。	4
咱们一起复习你的英语练习好吗？	2
他喜欢在周末看滑稽剧来放松自己。	7
这房间给人非常温暖舒适的感觉。	3
他是去年六月开始在这里工作的。	3
我希望这本书的字再大一点儿。	3
他那无聊的闲扯会使你烦恼。	7
他经常按他妻子的吩咐去做。	7
那城市有自己的公用图书馆和公园。	3
她那抑郁的心情一会儿就过去了。	7
从那个观点看，这工作就容易了。	3
他带着心满意足的微笑告诉了我们。	4
有足够的钱的；富裕的	7
这条裤子我穿太紧了。	3
他的动机是好的.	1
我觉得我有义务不这样。	3
他（跟你）是亲戚吗?	7
这房间的面积是多少?	3
那电影的情节是老掉牙的。	4
她是我们公司的一位秘书。	4
我丈夫是一个善良的人。	4
他被他的老板解雇了。	7
他和我力气一样大.	2
他在最适当的时候到达。	3
两把椅子坐起来都不舒服。	3
谨慎是那人性格的本质。	7
她向他表示衷心的感谢。	7
她急于要告诉你这消息。	3
你缺席的真正原因是什么？	4
你把结果算对了吗？	3
我是最近才开始学法语的。	3
我实在讨厌让我等着。	5
我始终认为帮助别人是重要的。	3
我丈夫是一个孝顺的儿子。	7
